Predictions,Lower Bound,Upper Bound
126.73868,97.71428,155.76308
124.306305,95.281906,153.3307
118.91306,89.888664,147.93745
115.904945,86.88055,144.92934
112.076706,83.05231,141.1011
109.292274,80.267876,138.31667
106.230064,77.205666,135.25446
103.60985,74.58545,132.63425
100.93925,71.91485,129.96364
98.500626,69.47623,127.525024
96.092186,67.06779,125.116585
93.82677,64.80237,122.851166
91.55273,62.528328,120.577126
89.391716,60.367317,118.416115
87.244,58.219604,116.2684
85.15847,56.13407,114.18287
83.119064,54.094666,112.14346
81.1523,52.1279,110.1767
79.25371,50.22931,108.27811
77.41962,48.395218,106.444016
